scene_id,task_id,episode_id,split,episode_length
BLOCK_02,BLOCK_02_TASK_003,203,train,545
BLOCK_02,BLOCK_02_TASK_031,231,train,472
BLOCK_02,BLOCK_02_TASK_016,216,train,514
BLOCK_02,BLOCK_02_TASK_029,229,train,491
BLOCK_02,BLOCK_02_TASK_026,226,train,518
BLOCK_02,BLOCK_02_TASK_008,208,train,473
BLOCK_02,BLOCK_02_TASK_011,211,train,447
SBEND_00,SBEND_00_TASK_023,263,train,597
SBEND_00,SBEND_00_TASK_013,253,train,617
SBEND_00,SBEND_00_TASK_034,274,train,602
SBEND_00,SBEND_00_TASK_009,249,train,629
SBEND_00,SBEND_00_TASK_031,271,train,582
SBEND_00,SBEND_00_TASK_015,255,train,585
SBEND_00,SBEND_00_TASK_007,247,train,635
SBEND_00,SBEND_00_TASK_026,266,train,593
SBEND_00,SBEND_00_TASK_025,265,train,569
SBEND_00,SBEND_00_TASK_027,267,train,654
SBEND_00,SBEND_00_TASK_012,252,train,605
SBEND_00,SBEND_00_TASK_036,276,train,595
SBEND_00,SBEND_00_TASK_014,254,train,627
SBEND_00,SBEND_00_TASK_004,244,train,573
SBEND_00,SBEND_00_TASK_000,240,train,653
SBEND_00,SBEND_00_TASK_005,245,train,611
SBEND_00,SBEND_00_TASK_028,268,train,643
SBEND_00,SBEND_00_TASK_017,257,train,624
SBEND_00,SBEND_00_TASK_032,272,train,636
SBEND_00,SBEND_00_TASK_003,243,train,574
SBEND_00,SBEND_00_TASK_010,250,train,614
SBEND_00,SBEND_00_TASK_019,259,train,543
SBEND_00,SBEND_00_TASK_022,262,train,570
SBEND_00,SBEND_00_TASK_035,275,train,648
SBEND_00,SBEND_00_TASK_006,246,train,569
SBEND_00,SBEND_00_TASK_001,241,train,591
SBEND_00,SBEND_00_TASK_002,242,train,644
SBEND_00,SBEND_00_TASK_008,248,train,629
SBEND_01,SBEND_01_TASK_014,291,train,706
SBEND_01,SBEND_01_TASK_030,305,train,711
SBEND_01,SBEND_01_TASK_036,311,train,711
SBEND_01,SBEND_01_TASK_018,294,train,736
SBEND_01,SBEND_01_TASK_023,299,train,708
SBEND_01,SBEND_01_TASK_033,308,train,728
SBEND_01,SBEND_01_TASK_037,312,train,699
SBEND_01,SBEND_01_TASK_027,302,train,651
SBEND_01,SBEND_01_TASK_031,306,train,669
SBEND_01,SBEND_01_TASK_004,284,train,674
SBEND_01,SBEND_01_TASK_042,316,train,667
SBEND_01,SBEND_01_TASK_000,280,train,717
SBEND_01,SBEND_01_TASK_006,286,train,721
SBEND_01,SBEND_01_TASK_029,304,train,680
SBEND_01,SBEND_01_TASK_040,315,train,678
SBEND_01,SBEND_01_TASK_001,281,train,641
SBEND_01,SBEND_01_TASK_043,317,train,679
SBEND_01,SBEND_01_TASK_008,287,train,682
SBEND_01,SBEND_01_TASK_039,314,train,670
SBEND_01,SBEND_01_TASK_017,293,train,689
SBEND_01,SBEND_01_TASK_005,285,train,687
SBEND_01,SBEND_01_TASK_002,282,train,649
SBEND_01,SBEND_01_TASK_026,301,train,722
SBEND_01,SBEND_01_TASK_021,297,train,662
SBEND_01,SBEND_01_TASK_035,310,train,746
SBEND_01,SBEND_01_TASK_045,319,train,638
SBEND_01,SBEND_01_TASK_028,303,train,697
SBEND_01,SBEND_01_TASK_015,292,train,703
SBEND_02,SBEND_02_TASK_003,323,train,695
SBEND_02,SBEND_02_TASK_019,339,train,690
SBEND_02,SBEND_02_TASK_004,324,train,730
SBEND_02,SBEND_02_TASK_016,336,train,682
SBEND_02,SBEND_02_TASK_002,322,train,712
SBEND_02,SBEND_02_TASK_008,328,train,710
SBEND_02,SBEND_02_TASK_009,329,train,664
SBEND_02,SBEND_02_TASK_013,333,train,655
SBEND_02,SBEND_02_TASK_036,356,train,742
SBEND_02,SBEND_02_TASK_015,335,train,666
SBEND_02,SBEND_02_TASK_032,352,train,723
SBEND_02,SBEND_02_TASK_034,354,train,694
SBEND_02,SBEND_02_TASK_000,320,train,757
SBEND_02,SBEND_02_TASK_035,355,train,744
SBEND_02,SBEND_02_TASK_014,334,train,725
SBEND_02,SBEND_02_TASK_018,338,train,674
SBEND_02,SBEND_02_TASK_030,350,train,762
SBEND_02,SBEND_02_TASK_033,353,train,730
SBEND_02,SBEND_02_TASK_001,321,train,686
SBEND_02,SBEND_02_TASK_012,332,train,667
SBEND_02,SBEND_02_TASK_024,344,train,672
SBEND_02,SBEND_02_TASK_017,337,train,724
SBEND_02,SBEND_02_TASK_039,359,train,712
SBEND_02,SBEND_02_TASK_037,357,train,747
SBEND_02,SBEND_02_TASK_023,343,train,671
SBEND_02,SBEND_02_TASK_010,330,train,746
SBEND_02,SBEND_02_TASK_021,341,train,696
SBEND_02,SBEND_02_TASK_028,348,train,705
OPEN_00,OPEN_00_TASK_008,8,val,450
OPEN_00,OPEN_00_TASK_009,9,val,391
OPEN_00,OPEN_00_TASK_033,33,val,417
OPEN_00,OPEN_00_TASK_018,18,val,433
OPEN_00,OPEN_00_TASK_026,26,val,374
OPEN_00,OPEN_00_TASK_011,11,val,403
OPEN_01,OPEN_01_TASK_014,53,val,413
OPEN_01,OPEN_01_TASK_037,76,val,427
OPEN_01,OPEN_01_TASK_031,70,val,465
OPEN_01,OPEN_01_TASK_028,67,val,381
OPEN_01,OPEN_01_TASK_017,56,val,412
OPEN_01,OPEN_01_TASK_029,68,val,476
OPEN_02,OPEN_02_TASK_017,97,val,374
OPEN_02,OPEN_02_TASK_019,99,val,383
OPEN_02,OPEN_02_TASK_008,88,val,363
OPEN_02,OPEN_02_TASK_015,95,val,365
OPEN_02,OPEN_02_TASK_004,84,val,396
OPEN_02,OPEN_02_TASK_018,98,val,369
BLOCK_00,BLOCK_00_TASK_006,126,val,509
BLOCK_00,BLOCK_00_TASK_026,146,val,496
BLOCK_00,BLOCK_00_TASK_003,123,val,477
BLOCK_00,BLOCK_00_TASK_011,131,val,454
BLOCK_00,BLOCK_00_TASK_035,155,val,526
BLOCK_00,BLOCK_00_TASK_036,156,val,491
BLOCK_01,BLOCK_01_TASK_009,169,val,448
BLOCK_01,BLOCK_01_TASK_035,195,val,464
BLOCK_01,BLOCK_01_TASK_038,198,val,391
BLOCK_01,BLOCK_01_TASK_021,181,val,423
BLOCK_01,BLOCK_01_TASK_030,190,val,433
BLOCK_01,BLOCK_01_TASK_018,178,val,441
BLOCK_02,BLOCK_02_TASK_009,209,val,489
BLOCK_02,BLOCK_02_TASK_015,215,val,562
BLOCK_02,BLOCK_02_TASK_020,220,val,477
BLOCK_02,BLOCK_02_TASK_039,239,val,442
BLOCK_02,BLOCK_02_TASK_021,221,val,500
BLOCK_02,BLOCK_02_TASK_024,224,val,533
SBEND_00,SBEND_00_TASK_033,273,val,586
SBEND_00,SBEND_00_TASK_016,256,val,640
SBEND_00,SBEND_00_TASK_038,278,val,590
SBEND_00,SBEND_00_TASK_018,258,val,596
SBEND_00,SBEND_00_TASK_039,279,val,567
SBEND_00,SBEND_00_TASK_037,277,val,641
SBEND_01,SBEND_01_TASK_020,296,val,704
SBEND_01,SBEND_01_TASK_038,313,val,726
SBEND_01,SBEND_01_TASK_022,298,val,730
SBEND_01,SBEND_01_TASK_044,318,val,693
SBEND_01,SBEND_01_TASK_012,290,val,682
SBEND_01,SBEND_01_TASK_003,283,val,722
SBEND_02,SBEND_02_TASK_005,325,val,691
SBEND_02,SBEND_02_TASK_006,326,val,708
SBEND_02,SBEND_02_TASK_025,345,val,686
SBEND_02,SBEND_02_TASK_011,331,val,757
SBEND_02,SBEND_02_TASK_029,349,val,682
SBEND_02,SBEND_02_TASK_020,340,val,688
OPEN_00,OPEN_00_TASK_031,31,test,399
OPEN_00,OPEN_00_TASK_025,25,test,401
OPEN_00,OPEN_00_TASK_012,12,test,429
OPEN_00,OPEN_00_TASK_014,14,test,362
OPEN_00,OPEN_00_TASK_020,20,test,327
OPEN_00,OPEN_00_TASK_001,1,test,375
OPEN_01,OPEN_01_TASK_040,79,test,374
OPEN_01,OPEN_01_TASK_033,72,test,475
OPEN_01,OPEN_01_TASK_030,69,test,434
OPEN_01,OPEN_01_TASK_003,43,test,439
OPEN_01,OPEN_01_TASK_036,75,test,415
OPEN_01,OPEN_01_TASK_034,73,test,399
OPEN_02,OPEN_02_TASK_039,119,test,372
OPEN_02,OPEN_02_TASK_026,106,test,312
OPEN_02,OPEN_02_TASK_034,114,test,367
OPEN_02,OPEN_02_TASK_006,86,test,388
OPEN_02,OPEN_02_TASK_032,112,test,359
OPEN_02,OPEN_02_TASK_028,108,test,410
BLOCK_00,BLOCK_00_TASK_033,153,test,455
BLOCK_00,BLOCK_00_TASK_021,141,test,442
BLOCK_00,BLOCK_00_TASK_019,139,test,461
BLOCK_00,BLOCK_00_TASK_001,121,test,501
BLOCK_00,BLOCK_00_TASK_028,148,test,436
BLOCK_00,BLOCK_00_TASK_017,137,test,489
BLOCK_01,BLOCK_01_TASK_010,170,test,497
BLOCK_01,BLOCK_01_TASK_022,182,test,494
BLOCK_01,BLOCK_01_TASK_002,162,test,439
BLOCK_01,BLOCK_01_TASK_039,199,test,450
BLOCK_01,BLOCK_01_TASK_011,171,test,426
BLOCK_01,BLOCK_01_TASK_036,196,test,505
BLOCK_02,BLOCK_02_TASK_032,232,test,502
BLOCK_02,BLOCK_02_TASK_013,213,test,467
BLOCK_02,BLOCK_02_TASK_005,205,test,465
BLOCK_02,BLOCK_02_TASK_027,227,test,530
BLOCK_02,BLOCK_02_TASK_017,217,test,468
BLOCK_02,BLOCK_02_TASK_033,233,test,435
SBEND_00,SBEND_00_TASK_024,264,test,625
SBEND_00,SBEND_00_TASK_021,261,test,600
SBEND_00,SBEND_00_TASK_030,270,test,624
SBEND_00,SBEND_00_TASK_020,260,test,601
SBEND_00,SBEND_00_TASK_029,269,test,608
SBEND_00,SBEND_00_TASK_011,251,test,604
SBEND_01,SBEND_01_TASK_034,309,test,648
SBEND_01,SBEND_01_TASK_019,295,test,611
SBEND_01,SBEND_01_TASK_009,288,test,707
SBEND_01,SBEND_01_TASK_010,289,test,711
SBEND_01,SBEND_01_TASK_024,300,test,673
SBEND_01,SBEND_01_TASK_032,307,test,616
SBEND_02,SBEND_02_TASK_027,347,test,760
SBEND_02,SBEND_02_TASK_022,342,test,725
SBEND_02,SBEND_02_TASK_026,346,test,717
SBEND_02,SBEND_02_TASK_031,351,test,710
SBEND_02,SBEND_02_TASK_038,358,test,720
SBEND_02,SBEND_02_TASK_007,327,test,717
